"Barcode","MaterialCode","MaterialName","RouteCode","WorkCenterCode","JobDate","ProdQty","CompleteRoute","ProdDateTime"
"VVQQ133R060687","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-16 13:45:00"
"VVQQ133R060688","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-17 16:39:21"
"VVQQ133R060691","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-17 17:14:50"
"VVQQ133R060692","ECVT30-260","HY-CAP VEC3R0606QG (1840)","V-26","VVT_F1","2026-08-15","500.00000","","2026-08-15 20:08:56"
"VVQQ153R060646","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 11:30:22"
"VVQQ153R060647","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 13:15:18"
"VVQQ153R060648","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","484.99999","1","2026-08-15 13:15:47"
"VVQQ153R060649","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 11:31:00"
"VVQQ153R060650","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 13:14:43"
"VVQQ153R0606A9","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 19:24:33"
"VVQQ153R0606AE","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 13:16:15"
"VVQQ153R0606AI","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 11:30:48"
"VVQQ153R0606AJ","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 13:15:07"
"VVQQ153R0606AK","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","490.99999","1","2026-08-15 09:39:55"
"VVQQ173R060603","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 11:30:37"
"VVQQ173R060608","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-16 01:50:00"
"VVQQ173R060611","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 13:17:04"
"VVQQ173R060616","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 13:15:32"
"VVQQ173R060667","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 20:44:02"
"VVQQ173R060668","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","495.00000","1","2026-08-16 00:40:37"
"VVQQ173R060669","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 11:31:25"
"VVQQ173R060670","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 20:43:30"
"VVQQ173R060671","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 20:44:45"
"VVQQ173R060673","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 16:25:49"
"VVQQ173R060674","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 16:25:23"
"VVQQ173R060676","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 13:14:56"
"VVQQ173R060679","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 09:33:49"
"VVQQ173R060680","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","497.00000","1","2026-08-15 20:45:02"
"VVQQ173R060681","ECVT30-373","HY-CAP VEC3R0606QG-C030(1840)","V-26","VVT_F1","2026-08-15","500.00000","1","2026-08-15 23:35:17"
"VVQQ123R072734","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-15","1055.00000","","2026-08-16 03:45:00"
"VVQQ133R072723","ECVT30-357","HY-CAP VEC3R0727QG (35105)","V-26_HY","VVT_F5","2026-08-15","1049.00000","","2026-08-15 18:23:10"
